Name,Platform,Year,Genre,Publisher
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo
Call of Duty: Black Ops,PS3,2010,Shooter,Activision
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo
Mario Kart 7,3DS,2011,Racing,Nintendo
Halo 3,X360,2007,Shooter,Microsoft Game Studios
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo
Super Mario 64,N64,1996,Platform,Nintendo
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment
Super Mario Galaxy,Wii,2007,Platform,Nintendo
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment
Super Mario 3D Land,3DS,2011,Platform,Nintendo
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive
Super Mario All-Stars,SNES,1993,Platform,Nintendo
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo
Super Mario 64,DS,2004,Platform,Nintendo
Just Dance 3,Wii,2011,Misc,Ubisoft
Call of Duty: Ghosts,X360,2013,Shooter,Activision
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios
Mario Kart 64,N64,1996,Racing,Nintendo
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo
Halo 4,X360,2012,Shooter,Microsoft Game Studios
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment
Call of Duty: Ghosts,PS3,2013,Shooter,Activision
Just Dance 2,Wii,2010,Misc,Ubisoft
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision
Donkey Kong Country,SNES,1994,Platform,Nintendo
Minecraft,X360,2013,Misc,Microsoft Game Studios
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo
Mario Party DS,DS,2007,Misc,Nintendo
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks
Super Mario Kart,SNES,1992,Racing,Nintendo
FIFA 16,PS4,2015,Sports,Electronic Arts
Wii Party,Wii,2010,Misc,Nintendo
Halo 2,XB,2004,Shooter,Microsoft Game Studios
Mario Party 8,Wii,2007,Misc,Nintendo
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo
FIFA Soccer 13,PS3,2012,Action,Electronic Arts
The Sims 3,PC,2009,Simulation,Electronic Arts
GoldenEye 007,N64,1997,Shooter,Nintendo
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo
Pac-Man,2600,1982,Puzzle,Atari
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment
Super Mario Bros. 2,NES,1988,Platform,Nintendo
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo
Call of Duty: World at War,X360,2008,Shooter,Activision
Battlefield 3,X360,2011,Shooter,Electronic Arts
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision
Just Dance,Wii,2009,Misc,Ubisoft
Battlefield 3,PS3,2011,Shooter,Electronic Arts
Need for Speed Underground,PS2,2003,Racing,Electronic Arts
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo
Mario Kart 8,WiiU,2014,Racing,Nintendo
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo
Just Dance 4,Wii,2012,Misc,Ubisoft
FIFA 14,PS3,2013,Sports,Electronic Arts
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment
Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment
Zumba Fitness,Wii,2010,Sports,505 Games
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision
FIFA 12,PS3,2011,Sports,Electronic Arts
Big Brain Academy,DS,2005,Misc,Nintendo
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive
FIFA 15,PS4,2014,Sports,Electronic Arts
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks
The Legend of Zelda,NES,1986,Action,Nintendo
Assassin's Creed III,PS3,2012,Action,Ubisoft
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment
Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios
Red Dead Redemption,X360,2010,Action,Take-Two Interactive
Super Mario Sunshine,GC,2002,Platform,Nintendo
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom
World of Warcraft,PC,2004,Role-Playing,Activision
Driver,PS,1999,Action,GT Interactive
Kinect Sports,X360,2010,Sports,Microsoft Game Studios
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios
Gears of War,X360,2006,Shooter,Microsoft Game Studios
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment
Sonic the Hedgehog 2,GEN,1992,Platform,Sega
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts
Resident Evil 2,PS,1998,Action,Virgin Interactive
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment
Cooking Mama,DS,2006,Simulation,505 Games
Destiny,PS4,2014,Shooter,Activision
Tetris,NES,1988,Puzzle,Nintendo
Assassin's Creed II,PS3,2009,Action,Ubisoft
Super Smash Bros.,N64,1999,Fighting,Nintendo
Assassin's Creed,X360,2007,Adventure,Ubisoft
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom
Super Mario Advance,GBA,2001,Platform,Nintendo
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo
Super Mario World,GBA,2001,Platform,Nintendo
Pokemon Stadium,N64,1999,Strategy,Nintendo
Call of Duty: World at War,PS3,2008,Shooter,Activision
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive
Minecraft,PS3,2014,Misc,Sony Computer Entertainment
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix
Dr. Mario,GB,1989,Puzzle,Nintendo
Pokemon Pinball,GB,1999,Misc,Nintendo
Assassin's Creed III,X360,2012,Action,Ubisoft
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts
Donkey Kong 64,N64,1999,Platform,Nintendo
Assassin's Creed II,X360,2009,Action,Ubisoft
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo
Tomb Raider II,PS,1997,Action,Eidos Interactive
Madden NFL 2004,PS2,N/A,Sports,Electronic Arts
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix
Diablo III,PC,2012,Role-Playing,Activision
Super Mario Bros. 3,GBA,2003,Platform,Nintendo
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo
Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo
FIFA Soccer 13,X360,2012,Action,Electronic Arts
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo
Tomodachi Life,3DS,2013,Simulation,Nintendo
Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts
Kirby's Dream Land,GB,1992,Platform,Nintendo
Fable III,X360,2010,Role-Playing,Microsoft Game Studios
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision
Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios
Guitar Hero II,PS2,2006,Misc,RedOctane
Resident Evil 5,PS3,2009,Action,Capcom
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts
Super Mario Bros.,GB,1999,Platform,Nintendo
Resident Evil,PS,1996,Action,Virgin Interactive
Tony Hawk's Pro Skater,PS,1999,Sports,Activision
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo
Warzone 2100,PS,1999,Strategy,Eidos Interactive
Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment
Link's Crossbow Training,Wii,2007,Shooter,Nintendo
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment
Madden NFL 06,PS2,2005,Sports,Electronic Arts
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts
Diddy Kong Racing,N64,1997,Racing,Nintendo
Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom
Dr. Mario,NES,1990,Puzzle,Nintendo
God of War III,PS3,2010,Action,Sony Computer Entertainment
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision
Assassin's Creed,PS3,2007,Adventure,Ubisoft
FIFA 15,PS3,2014,Sports,Electronic Arts
Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment
FIFA 17,PS4,2016,Sports,Electronic Arts
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment
Driver 2,PS,2000,Action,Atari
The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games
Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo
The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts
Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios
Tomb Raider,PS,1996,Action,Eidos Interactive
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision
The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo
Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo
Splatoon,WiiU,2015,Shooter,Nintendo
The Last of Us,PS4,2014,Action,Sony Computer Entertainment
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision
Madden NFL 2005,PS2,2004,Sports,Electronic Arts
Pitfall!,2600,1981,Platform,Activision
Madden NFL 07,PS2,2006,Sports,Electronic Arts
Spider-Man: The Movie,PS2,2002,Action,Activision
Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment
Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision
God of War,PS2,2005,Action,Sony Computer Entertainment
Nintendo Land,WiiU,2012,Misc,Nintendo
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft
Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive
Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo
Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts
Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment
Sonic the Hedgehog,GEN,1991,Platform,Sega
Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix
FIFA 14,X360,2013,Sports,Electronic Arts
Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision
Asteroids,2600,1980,Shooter,Atari
Fable II,X360,2008,Role-Playing,Microsoft Game Studios
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios
Super Mario 3D World,WiiU,2013,Platform,Nintendo
Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive
Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft
Namco Museum,GBA,2001,Misc,Namco Bandai Games
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment
Daxter,PSP,2006,Platform,Sony Computer Entertainment
Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision
The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo
FIFA Soccer 06,PS2,2005,Sports,Electronic Arts
EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment
Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment
Assassin's Creed: Revelations,X360,2011,Action,Ubisoft
Street Fighter IV,PS3,2009,Fighting,Capcom
FIFA 12,X360,2011,Sports,Electronic Arts
Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom
Excitebike,NES,1984,Racing,Nintendo
Frogger,PS,1997,Action,Hasbro Interactive
Madden NFL 2003,PS2,2002,Sports,Electronic Arts
Watch Dogs,PS4,2014,Action,Ubisoft
Half-Life,PC,1997,Shooter,Vivendi Games
Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo
FIFA Soccer 07,PS2,2006,Sports,Electronic Arts
The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo
Street Fighter II Turbo,SNES,1992,Fighting,Capcom
Carnival Games,Wii,2007,Misc,Take-Two Interactive
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision
Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks
God of War II,PS2,2007,Action,Sony Computer Entertainment
Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios
World Soccer Winning Eleven 9,PS2,2005,Sports,Konami Digital Entertainment
Namco Museum Vol.3,PS,1996,Misc,Sony Computer Entertainment
Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai Games
Far Cry 4,PS4,2014,Shooter,Ubisoft
Star Fox 64,N64,1997,Shooter,Nintendo
Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe
Golf,NES,1984,Sports,Nintendo
Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks
Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo
Left 4 Dead 2,X360,2009,Shooter,Electronic Arts
Namco Museum: 50th Anniversary,PS2,2005,Misc,Namco Bandai Games
EA Sports Active,Wii,2009,Sports,Electronic Arts
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft
Donkey Kong Land,GB,1994,Platform,Nintendo
Tony Hawk's Underground,PS2,2003,Sports,Activision
Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo
MotorStorm,PS3,2006,Racing,Sony Computer Entertainment
The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks
Tekken 5,PS2,2005,Fighting,Namco Bandai Games
Dragon Warrior III,NES,1988,Role-Playing,Enix Corporation
Sports Champions,PS3,2010,Sports,Sony Computer Entertainment
NBA 2K16,PS4,2015,Sports,Take-Two Interactive
World Soccer Winning Eleven 8 International,PS2,2004,Sports,Konami Digital Entertainment
Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo
Namco Museum Vol.1,PS,1995,Misc,Sony Computer Entertainment
The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo
Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,Nintendo
Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo
Nintendogs + cats,3DS,2011,Simulation,Nintendo
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment
Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega
LEGO Indiana Jones: The Original Adventures,X360,2008,Action,Activision
Resident Evil Director's Cut,PS,1996,Action,Virgin Interactive
Ratchet & Clank: Size Matters,PSP,2007,Platform,Sony Computer Entertainment
Just Dance 2014,Wii,2013,Misc,Ubisoft
The Sims: Unleashed,PC,2002,Simulation,Electronic Arts
Super Paper Mario,Wii,2007,Platform,Nintendo
Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games
Resident Evil 3: Nemesis,PS,1999,Action,Eidos Interactive
Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment
FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts
Pokémon Trading Card Game,GB,1998,Strategy,Nintendo
Battlefield 4,PS3,2013,Shooter,Electronic Arts
MySims,DS,2007,Simulation,Electronic Arts
Friend Collection,DS,2009,Misc,Nintendo
Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision
Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive
Banjo-Kazooie,N64,1998,Platform,Nintendo
SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment
Guitar Hero: World Tour,Wii,2008,Misc,Activision
Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment
Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment
Pokemon Snap,N64,1999,Simulation,Nintendo
FIFA Soccer 10,PS3,2009,Sports,Electronic Arts
Pro Evolution Soccer 2008,PS2,2007,Sports,Konami Digital Entertainment
Call of Duty: Ghosts,PS4,2013,Shooter,Activision
Resident Evil 4,PS2,2005,Action,Capcom
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft
Star Wars: Battlefront,PS2,2004,Shooter,LucasArts
Doom II: Hell on Earth,PC,1994,Shooter,Virgin Interactive
The Simpsons: Road Rage,PS2,2001,Racing,Electronic Arts
Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,505 Games
Luigi's Mansion,GC,2001,Action,Nintendo
Star Wars: Battlefront II,PS2,2005,Shooter,LucasArts
WWF SmackDown!,PS,2000,Fighting,THQ
Croc: Legend of the Gobbos,PS,1997,Platform,Fox Interactive
Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive
The Getaway,PS2,2002,Action,Sony Computer Entertainment
Tomb Raider III: Adventures of Lara Croft,PS,1997,Action,Eidos Interactive
James Bond 007: Agent Under Fire,PS2,2001,Shooter,Electronic Arts
LEGO Star Wars: The Video Game,PS2,2005,Action,Eidos Interactive
Battlefield 4,X360,2013,Shooter,Electronic Arts
FIFA Soccer 11,X360,2010,Sports,Electronic Arts
Rugrats in Paris: The Movie,PS,2000,Action,THQ
Spyro 2: Ripto's Rage!,PS,1999,Platform,Sony Computer Entertainment
Left 4 Dead,X360,2008,Shooter,Electronic Arts
Mario & Sonic at the Olympic Winter Games,DS,2009,Sports,Sega
Resident Evil 5,X360,2009,Action,Capcom
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Platform,Nintendo
Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft
Kung Fu,NES,1985,Action,Nintendo
Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive
Clubhouse Games,DS,2006,Misc,Nintendo
FIFA Soccer 2004,PS2,N/A,Sports,Electronic Arts
Star Wars Battlefront (2015),XOne,2015,Shooter,Electronic Arts
Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts
Guitar Hero: On Tour,DS,2008,Misc,Activision
Assassin's Creed: Unity,XOne,2014,Action,Ubisoft
Far Cry 3,PS3,2012,Shooter,Ubisoft
Monster Hunter 4,3DS,2013,Role-Playing,Capcom
Borderlands,X360,2009,Shooter,Take-Two Interactive
Tekken 4,PS2,2002,Fighting,Namco Bandai Games
Battlefield 4,PS4,2013,Shooter,Electronic Arts
LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment
Grand Theft Auto 2,PS,1998,Action,Take-Two Interactive
Final Fantasy III,SNES,1994,Role-Playing,SquareSoft
Spider-Man 2,PS2,2004,Action,Activision
F-1 Race,GB,1990,Racing,Nintendo
FIFA Soccer 2003,PS2,2002,Sports,Electronic Arts
Crash Bash,PS,2000,Misc,Sony Computer Entertainment
LEGO Batman: The Videogame,X360,2008,Action,Warner Bros. Interactive Entertainment
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment
The Legend of Zelda: Spirit Tracks,DS,2009,Action,Nintendo
WWF War Zone,PS,1998,Fighting,Acclaim Entertainment
The Legend of Zelda: Majora's Mask,N64,2000,Action,Nintendo
Professor Layton and the Unwound Future,DS,2008,Puzzle,Nintendo
Rugrats: Search For Reptar,PS,1998,Adventure,THQ
Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft
English Training: Have Fun Improving Your Skills!,DS,2006,Misc,Nintendo
James Bond 007: Nightfire,PS2,2002,Shooter,Electronic Arts
Ratchet & Clank,PS2,2002,Platform,Sony Computer Entertainment
Mario Party 9,Wii,2012,Misc,Nintendo
Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,LucasArts
Max Payne,PS2,2001,Shooter,Take-Two Interactive
The Lord of the Rings: The Return of the King,PS2,2003,Action,Electronic Arts
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft
Destiny,XOne,2014,Shooter,Activision
True Crime: Streets of LA,PS2,2003,Action,Activision
Wii Music,Wii,2008,Misc,Nintendo
Gran Turismo (PSP),PSP,2009,Racing,Sony Computer Entertainment
Monster Hunter X,3DS,2015,Action,Capcom
Tekken,PS,1995,Fighting,Sony Computer Entertainment
FIFA 16,XOne,2015,Sports,Electronic Arts
L.A. Noire,PS3,2011,Adventure,Take-Two Interactive
Madden NFL 16,PS4,2015,Sports,Electronic Arts
Yokai Watch 2 Ganso/Honke,3DS,2014,Role-Playing,Nintendo
007: Tomorrow Never Dies,PS,1999,Shooter,Electronic Arts
Baseball,NES,1983,Sports,Nintendo
Killer Instinct,SNES,1995,Fighting,Nintendo
WWF SmackDown! 2: Know Your Role,PS,2000,Fighting,THQ
Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,Square Enix
God of War: Chains of Olympus,PSP,2008,Action,Sony Computer Entertainment
Dragon Quest VI: Maboroshi no Daichi,SNES,1995,Role-Playing,Enix Corporation
Dance Central,X360,2010,Misc,MTV Games
Enter the Matrix,PS2,2003,Action,Atari
Super Mario Maker,WiiU,2015,Platform,Nintendo
Fallout: New Vegas,PS3,2010,Role-Playing,Bethesda Softworks
LEGO Batman: The Videogame,Wii,N/A,Action,Warner Bros. Interactive Entertainment
Rhythm Heaven,DS,2008,Misc,Nintendo
Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Sony Computer Entertainment Europe
Club Penguin: Elite Penguin Force,DS,2008,Adventure,Disney Interactive Studios
Animal Crossing,GC,2001,Simulation,Nintendo
LEGO Batman: The Videogame,DS,2008,Action,Warner Bros. Interactive Entertainment
Sonic Rush,DS,2005,Platform,Sega
Resident Evil 6,PS3,2012,Shooter,Capcom
Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios
FIFA Soccer 08,PS2,2007,Sports,Electronic Arts
Spider-Man,PS,2000,Action,Activision
Need for Speed III: Hot Pursuit,PS,1998,Racing,Electronic Arts
Star Wars Episode I Racer,N64,1999,Racing,Nintendo
Personal Trainer: Cooking,DS,2006,Misc,Nintendo
The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft
Dragon Warrior IV,NES,1990,Role-Playing,Enix Corporation
Heavy Rain,PS3,2010,Adventure,Sony Computer Entertainment
Mass Effect 2,X360,2010,Role-Playing,Electronic Arts
FIFA 15,X360,2014,Sports,Electronic Arts
Dragon Ball Z: Budokai,PS2,2002,Fighting,Atari
Madden NFL 2002,PS2,2001,Sports,Electronic Arts
World Class Track Meet,NES,1986,Sports,Namco Bandai Games
